seed,condition,coverage_pct,cv,gini,max_age,mean_age,never_visited,detect_step,full_cov_step
21,SSE_Gap,100.0,0.609836275845962,0.23813519401754712,909,789.0833333333334,0,474,876
21,SSE_PPS,100.0,0.5791691641676043,0.20598040951200813,866,732.25,0,474,828
21,Gap_only,100.0,0.609836275845962,0.23813519401754712,909,789.0833333333334,0,474,876
22,SSE_only,100.0,0.6889298636721942,0.3863429979892328,1712,1192.4722222222222,0,258,634
22,SSE_Gap,100.0,0.3988741165808631,0.2238830272241763,959,802.5,0,258,667
22,SSE_PPS,100.0,0.32208710713612737,0.1784970383388662,777,722.1111111111111,0,258,608
22,Gap_only,100.0,0.3988741165808631,0.2238830272241763,959,802.5,0,258,667
23,SSE_only,100.0,0.5997793701629247,0.3361714016822541,1664,1149.361111111111,0,371,730
23,SSE_Gap,100.0,0.29093439892243056,0.16261420571765406,875,759.8333333333334,0,371,699
23,SSE_PPS,100.0,0.33093447612776616,0.18138122198631756,756,682,0,371,626
23,Gap_only,100.0,0.29093439892243056,0.16261420571765406,875,759.8333333333334,0,371,699
24,SSE_only,100.0,0.6130110853671885,0.3365865865865867,1747,1246.861111111111,0,268,711
24,SSE_Gap,100.0,0.26312084134895364,0.14260044774360803,695,637.0833333333334,0,268,665
24,SSE_PPS,100.0,0.2499886618744131,0.14215167548500895,837,751.75,0,268,640
24,Gap_only,100.0,0.26312084134895364,0.14260044774360803,695,637.0833333333334,0,268,665
25,SSE_only,100.0,0.6053694461790201,0.3088914549653581,1539,1182.0555555555557,0,362,802
25,SSE_Gap,100.0,0.28979548426500873,0.16602440590879897,833,749.8611111111111,0,362,694
25,SSE_PPS,100.0,0.3193553725597086,0.1786401231005963,732,683.5,0,287,560
25,Gap_only,100.0,0.28979548426500873,0.16602440590879897,833,749.8611111111111,0,362,694
26,SSE_only,100.0,0.5615328052756643,0.30032299741602086,1618,1182.888888888889,0,381,813
26,SSE_Gap,100.0,0.25723935966438993,0.14656624554583741,760,715.5277777777778,0,381,650
26,SSE_PPS,100.0,0.3547123177167459,0.18189024784831442,845,762.6944444444445,0,430,756
26,Gap_only,100.0,0.25723935966438993,0.14656624554583741,760,715.5277777777778,0,381,650
27,SSE_only,100.0,0.9660594023124833,0.4438200448286904,1620,1130.5833333333333,0,544,803
27,SSE_Gap,100.0,0.5582740919743113,0.19703362741337438,828,741.8333333333334,0,544,776
27,SSE_PPS,100.0,0.5715442162365203,0.19923922772024039,821,791.8888888888889,0,544,776
27,Gap_only,100.0,0.5582740919743113,0.19703362741337438,828,741.8333333333334,0,544,776
28,SSE_only,100.0,1.6662203606074582,0.5292877815527872,1759,1444.1944444444443,0,339,1121
28,SSE_Gap,100.0,0.2880561425291731,0.160739059149956,706,682.0277777777778,0,339,564
28,SSE_PPS,100.0,0.34812069247450034,0.19674873737373755,825,757.5,0,339,589
28,Gap_only,100.0,0.2880561425291731,0.160739059149956,706,682.0277777777778,0,339,564
29,SSE_only,100.0,0.9294402257714591,0.4273924213230573,1705,1269.8333333333333,0,372,826
29,SSE_Gap,100.0,0.16820418690697173,0.09128358017567484,762,733.2777777777778,0,372,687
29,SSE_PPS,100.0,0.2211015805757225,0.12549660387030648,771,716.3611111111111,0,350,608
29,Gap_only,100.0,0.16820418690697173,0.09128358017567484,762,733.2777777777778,0,372,687
30,SSE_only,100.0,1.6082190157397922,0.4835314037441698,1745,1376.861111111111,0,397,1182
30,SSE_Gap,100.0,0.23314055881365833,0.13095238095238115,709,681.5833333333334,0,397,640
30,SSE_PPS,100.0,0.23314055881365833,0.13095238095238115,709,681.5833333333334,0,397,640
30,Gap_only,100.0,0.23314055881365833,0.13095238095238115,709,681.5833333333334,0,397,640
